CONTENTCREATEDDATE,TITLE
2011-10-19,4
2011-10-20,14
2011-10-21,5
2011-10-24,6
2011-10-25,20
2011-10-26,9
2011-10-27,10
2011-10-28,38
2011-10-29,10
2011-10-31,35
2011-11-01,20
2011-11-02,15
2011-11-03,43
2011-11-04,22
2011-11-07,31
2011-11-08,8
2011-11-09,17
2011-11-10,110
2011-11-14,23
2011-11-15,28
2011-11-16,29
2011-11-17,19
2011-11-18,26
2011-11-19,2
2011-11-21,44
2011-11-22,17
2011-11-23,16
2011-11-25,22
2011-11-28,16
2011-11-29,25
2011-11-30,33
2011-12-01,57
2011-12-02,77
2011-12-05,75
2011-12-06,37
2011-12-07,55
2011-12-08,20
2011-12-09,23
2011-12-12,10
2011-12-13,34
2011-12-14,59
2011-12-15,61
2011-12-16,47
2011-12-19,101
2011-12-20,40
2011-12-21,54
2011-12-22,31
2011-12-23,8
2011-12-25,4
2011-12-27,81
2011-12-28,63
2011-12-29,38
2011-12-30,39
2011-12-31,2
2012-01-02,3
2012-01-03,26
2012-01-04,39
2012-01-05,15
2012-01-06,27
2012-01-07,1
2012-01-09,21
2012-01-10,20
2012-01-11,50
2012-01-12,7
2012-01-13,26
2012-01-17,24
2012-01-18,26
2012-01-19,22
2012-01-20,23
2012-01-23,15
2012-01-24,22
2012-01-25,11
2012-01-26,20
2012-01-27,34
2012-01-30,37
2012-01-31,36
2012-02-01,17
2012-02-02,62
2012-02-03,54
2012-02-06,19
2012-02-07,17
2012-02-08,104
2012-02-09,44
2012-02-10,51
2012-02-11,1
2012-02-13,9
2012-02-14,9
2012-02-15,17
2012-02-16,13
2012-02-17,30
2012-02-20,6
2012-02-21,25
2012-02-22,28
2012-02-23,17
2012-02-24,16
2012-02-27,259
2012-02-28,26
2012-02-29,45
2012-03-01,21
2012-03-02,26
2012-03-05,56
2012-03-06,41
2012-03-07,57
2012-03-08,29
2012-03-09,38
2012-03-12,77
2012-03-13,71
2012-03-14,82
2012-03-15,48
2012-03-16,28
2012-03-19,56
2012-03-20,115
2012-03-21,67
2012-03-22,24
2012-03-23,118
2012-03-26,36
2012-03-27,399
2012-03-28,146
2012-03-29,78
2012-03-30,74
2012-04-02,79
2012-04-03,100
2012-04-04,37
2012-04-05,61
2012-04-06,33
2012-04-07,1
2012-04-09,54
2012-04-10,61
2012-04-11,59
2012-04-12,113
2012-04-13,34
2012-04-17,137
2012-04-18,79
2012-04-19,118
2012-04-20,11
2012-04-23,83
2012-04-24,48
2012-04-25,28
2012-04-26,28
2012-04-27,33
2012-04-28,1
2012-04-30,65
2012-05-01,54
2012-05-02,20
2012-05-03,90
2012-05-04,33
2012-05-07,85
2012-05-08,63
2012-05-09,41
2012-05-10,24
2012-05-11,27
2012-05-14,45
2012-05-15,66
2012-05-16,24
2012-05-17,50
2012-05-18,17
2012-05-21,20
2012-05-22,35
2012-05-23,26
2012-05-24,38
2012-05-25,54
2012-05-28,8
2012-05-29,63
2012-05-30,83
2012-05-31,90
2012-06-01,15
2012-06-02,22
2012-06-03,9
2012-06-04,37
2012-06-05,43
2012-06-06,76
2012-06-07,47
2012-06-08,56
2012-06-11,13
2012-06-12,36
2012-06-13,96
2012-06-14,31
2012-06-15,47
2012-06-18,69
2012-06-19,62
2012-06-20,67
2012-06-21,33
2012-06-22,152
2012-06-24,13
2012-06-25,24
2012-06-26,131
2012-06-27,59
2012-06-28,44
2012-06-29,29
2012-07-02,50
2012-07-03,32
2012-07-05,10
2012-07-06,157
2012-07-07,1
2012-07-08,2
2012-07-09,18
2012-07-10,22
2012-07-11,12
2012-07-12,21
2012-07-13,40
2012-07-16,12
2012-07-17,21
2012-07-18,44
2012-07-19,19
2012-07-20,18
2012-07-23,28
2012-07-24,18
2012-07-25,9
2012-07-26,44
2012-07-27,30
2012-07-29,1
2012-07-30,164
2012-07-31,29
2012-08-01,9
2012-08-02,30
2012-08-03,53
2012-08-04,1
2012-08-06,29
2012-08-07,260
2012-08-08,117
2012-08-09,43
2012-08-10,18
2012-08-13,16
2012-08-14,46
2012-08-15,35
2012-08-16,28
2012-08-17,45
2012-08-20,38
2012-08-21,23
2012-08-22,20
2012-08-23,37
2012-08-24,606
2012-08-25,1393
2012-08-27,960
2012-08-28,141
2012-08-29,14
2012-08-30,22
2012-08-31,44
2012-09-04,20
2012-09-05,18
2012-09-06,1056
2012-09-07,1004
2012-09-10,1571
2012-09-11,1149
2012-09-12,19
2012-09-13,46
2012-09-14,14
2012-09-17,105
2012-09-18,58
2012-09-19,19
2012-09-20,120
2012-09-21,42
2012-09-24,26
2012-09-25,35
2012-09-26,195
2012-09-27,662
2012-09-28,442
2012-10-01,20
2012-10-02,136
2012-10-03,19
2012-10-04,10
2012-10-05,34
2012-10-09,52
2012-10-10,29
2012-10-11,24
2012-10-12,15
2012-10-15,14
2012-10-16,26
2012-10-17,35
2012-10-18,38
2012-10-19,47
2012-10-22,22
2012-10-23,14
2012-10-24,37
2012-10-25,10
2012-10-26,20
2012-10-27,136
2012-10-29,1
2012-10-30,27
2012-10-31,34
2012-11-01,81
2012-11-02,25
2012-11-03,35
2012-11-05,21
2012-11-06,22
2012-11-07,36
2012-11-08,32
2012-11-09,25
2012-11-13,14
2012-11-14,35
2012-11-15,28
2012-11-16,27
2012-11-17,8
2012-11-19,46
2012-11-20,43
2012-11-21,62
2012-11-23,24
2012-11-25,1
2012-11-26,34
2012-11-27,21
2012-11-28,34
2012-11-29,25
2012-11-30,34
2012-12-03,31
2012-12-04,39
2012-12-05,48
2012-12-06,60
2012-12-07,28
2012-12-10,20
2012-12-11,46
2012-12-12,26
2012-12-13,413
2012-12-14,33
2012-12-15,1
2012-12-17,51
2012-12-18,47
2012-12-19,39
2012-12-20,22
2012-12-21,20
2012-12-24,15
2012-12-26,1
2012-12-27,36
2012-12-28,41
2012-12-31,20
2013-01-02,33
2013-01-03,43
2013-01-04,58
2013-01-07,25
2013-01-08,31
2013-01-09,29
2013-01-10,25
2013-01-11,27
2013-01-14,70
2013-01-15,55
2013-01-16,37
2013-01-17,65
2013-01-18,20
2013-01-21,1
2013-01-22,51
2013-01-23,42
2013-01-24,23
2013-01-25,66
2013-01-28,27
2013-01-29,38
2013-01-30,70
2013-01-31,50
2013-02-01,26
2013-02-02,1
2013-02-03,2
2013-02-04,34
2013-02-05,240
2013-02-06,482
2013-02-07,17
2013-02-08,3
2013-02-11,465
2013-02-12,26
2013-02-13,157
2013-02-14,43
2013-02-15,42
2013-02-19,20
2013-02-20,47
2013-02-21,137
2013-02-22,126
2013-02-25,230
2013-02-26,54
2013-02-27,34
2013-02-28,60
2013-03-01,63
2013-03-04,51
2013-03-05,40
2013-03-06,34
2013-03-07,21
2013-03-08,70
2013-03-11,27
2013-03-12,29
2013-03-13,37
2013-03-14,37
2013-03-15,35
2013-03-18,50
2013-03-19,24
2013-03-20,43
2013-03-21,65
2013-03-22,395
2013-03-25,53
2013-03-26,48
2013-03-27,24
2013-03-28,223
2013-03-29,90
2013-04-01,58
2013-04-02,118
2013-04-03,39
2013-04-04,38
2013-04-05,32
2013-04-08,51
2013-04-09,42
2013-04-10,318
2013-04-11,59
2013-04-12,110
2013-04-16,24
2013-04-17,18
2013-04-18,57
2013-04-19,12
2013-04-22,32
2013-04-23,25
2013-04-24,96
2013-04-25,72
2013-04-26,104
2013-04-29,43
2013-04-30,83
2013-05-01,187
2013-05-02,74
2013-05-03,73
2013-05-06,34
2013-05-07,23
2013-05-08,56
2013-05-09,14
2013-05-10,40
2013-05-13,54
2013-05-14,41
2013-05-15,107
2013-05-16,167
2013-05-17,49
2013-05-20,120
2013-05-21,68
2013-05-22,944
2013-05-23,540
2013-05-24,64
2013-05-28,69
2013-05-29,70
2013-05-30,42
2013-05-31,33
2013-06-03,18
2013-06-04,77
2013-06-05,23
2013-06-06,78
2013-06-07,29
2013-06-10,28
2013-06-11,28
2013-06-12,74
2013-06-13,54
2013-06-14,87
2013-06-17,108
2013-06-18,104
2013-06-19,61
2013-06-20,91
2013-06-21,70
2013-06-22,2
2013-06-24,42
2013-06-25,57
2013-06-26,116
2013-06-27,51
2013-06-28,76
2013-06-30,37
2013-07-01,46
2013-07-02,23
2013-07-03,65
2013-07-05,33
2013-07-08,108
2013-07-09,33
2013-07-10,59
2013-07-11,788
2013-07-12,1012
2013-07-15,138
2013-07-16,113
2013-07-17,51
2013-07-18,29
2013-07-19,14
2013-07-22,82
2013-07-23,32
2013-07-24,98
2013-07-25,27
2013-07-26,77
2013-07-29,46
2013-07-30,58
2013-07-31,78
2013-08-01,71
2013-08-02,61
2013-08-05,50
2013-08-06,123
2013-08-07,100
2013-08-08,112
2013-08-09,98
2013-08-12,25
2013-08-13,49
2013-08-14,227
2013-08-15,82
2013-08-16,130
2013-08-19,70
2013-08-20,52
2013-08-21,46
2013-08-22,58
2013-08-23,26
2013-08-26,37
2013-08-27,77
2013-08-28,27
2013-08-29,42
2013-08-30,30
2013-09-03,102
2013-09-04,58
2013-09-05,38
2013-09-06,37
2013-09-09,51
2013-09-10,111
2013-09-11,44
2013-09-12,46
2013-09-13,103
2013-09-14,58
2013-09-16,30
2013-09-17,54
2013-09-18,59
2013-09-19,36
2013-09-20,50
2013-09-23,60
2013-09-24,89
2013-09-25,61
2013-09-26,67
2013-09-27,76
2013-09-28,43
2013-09-29,4
2013-09-30,33
2013-10-01,72
2013-10-02,85
2013-10-03,60
2013-10-04,83
2013-10-07,63
2013-10-08,61
2013-10-09,49
2013-10-10,35
2013-10-11,31
2013-10-15,20
2013-10-16,36
2013-10-17,52
2013-10-18,77
2013-10-21,67
2013-10-22,37
2013-10-23,56
2013-10-24,55
2013-10-25,22
2013-10-28,43
2013-10-29,123
2013-10-30,64
2013-10-31,51
2013-11-01,63
2013-11-04,40
2013-11-05,102
2013-11-06,56
2013-11-07,28
2013-11-08,57
2013-11-09,2
2013-11-11,2
2013-11-12,68
2013-11-13,30
2013-11-14,42
2013-11-15,674
2013-11-18,47
2013-11-19,126
2013-11-20,138
2013-11-21,66
2013-11-22,51
2013-11-25,224
2013-11-26,191
2013-11-27,41
2013-11-29,8
2013-12-02,27
2013-12-03,45
2013-12-04,44
2013-12-05,90
2013-12-06,38
2013-12-09,17
2013-12-10,44
2013-12-11,94
2013-12-12,32
2013-12-13,31
2013-12-14,1
2013-12-16,41
2013-12-17,10
2013-12-18,45
2013-12-19,22
2013-12-20,31
2013-12-22,1
2013-12-23,51
2013-12-24,26
2013-12-26,5
2013-12-27,18
2013-12-30,57
2013-12-31,100
2014-01-02,44
2014-01-03,15
2014-01-06,16
2014-01-07,41
2014-01-08,67
2014-01-09,77
2014-01-10,79
2014-01-13,20
2014-01-14,58
2014-01-15,53
2014-01-16,71
2014-01-17,94
2014-01-21,72
2014-01-22,29
2014-01-23,110
2014-01-24,60
2014-01-27,132
2014-01-28,31
2014-01-29,53
2014-01-30,92
2014-01-31,65
2014-02-01,3
2014-02-03,28
2014-02-04,78
2014-02-05,2
2014-02-06,47
2014-02-07,70
2014-02-09,1
2014-02-10,31
2014-02-11,56
2014-02-12,181
2014-02-13,70
2014-02-14,45
2014-02-15,1
2014-02-17,2
2014-02-18,41
2014-02-19,35
2014-02-20,25
2014-02-21,194
2014-02-22,4
2014-02-23,7
2014-02-24,114
2014-02-25,67
2014-02-26,60
2014-02-27,77
2014-02-28,99
2014-03-02,3
2014-03-03,78
2014-03-04,50
2014-03-05,43
2014-03-06,51
2014-03-07,89
2014-03-08,4
2014-03-09,3
2014-03-10,173
2014-03-11,71
2014-03-12,144
2014-03-13,91
2014-03-14,67
2014-03-15,3
2014-03-17,63
2014-03-18,67
2014-03-19,84
2014-03-20,90
2014-03-21,96
2014-03-23,1
2014-03-24,51
2014-03-25,117
2014-03-26,402
2014-03-27,101
2014-03-28,126
2014-03-30,1
2014-03-31,41
2014-04-01,60
2014-04-02,50
2014-04-03,164
2014-04-04,64
2014-04-06,1
2014-04-07,47
2014-04-08,79
2014-04-09,44
2014-04-10,66
2014-04-11,76
2014-04-13,3
2014-04-14,112
2014-04-15,85
2014-04-16,66
2014-04-17,47
2014-04-18,46
2014-04-22,66
2014-04-23,77
2014-04-24,57
2014-04-25,59
2014-04-28,57
2014-04-29,103
2014-04-30,55
2014-05-01,77
2014-05-02,77
2014-05-05,42
2014-05-06,149
2014-05-07,2104
2014-05-08,123
2014-05-09,38
2014-05-12,76
2014-05-13,64
2014-05-14,86
2014-05-15,54
2014-05-16,49
2014-05-19,31
2014-05-20,61
2014-05-21,80
2014-05-22,52
2014-05-23,47
2014-05-27,17
2014-05-28,72
2014-05-29,54
2014-05-30,52
2014-06-02,51
2014-06-03,36
2014-06-04,30
2014-06-05,86
2014-06-06,42
2014-06-09,104
2014-06-10,63
2014-06-11,28
2014-06-12,65
2014-06-13,105
2014-06-16,48
2014-06-17,52
2014-06-18,42
2014-06-19,66
2014-06-20,47
2014-06-23,38
2014-06-24,50
2014-06-25,17
2014-06-26,36
2014-06-27,85
2014-06-30,90
2014-07-01,62
2014-07-02,59
2014-07-03,36
2014-07-07,52
2014-07-08,36
2014-07-09,27
2014-07-10,42
2014-07-11,42
2014-07-14,52
2014-07-15,76
2014-07-16,71
2014-07-17,101
2014-07-18,38
2014-07-21,29
2014-07-22,126
2014-07-23,43
2014-07-24,84
2014-07-25,104
2014-07-27,1
2014-07-28,110
2014-07-29,103
2014-07-30,51
2014-07-31,69
2014-08-01,37
2014-08-04,28
2014-08-05,48
2014-08-06,81
2014-08-07,100
2014-08-08,143
2014-08-11,429
2014-08-12,132
2014-08-13,51
2014-08-14,130
2014-08-15,30
2014-08-18,24
2014-08-19,94
2014-08-20,36
2014-08-21,53
2014-08-22,29
2014-08-25,51
2014-08-26,62
2014-08-27,21
2014-08-28,21
2014-08-29,38
2014-08-30,1
2014-09-02,50
2014-09-03,65
2014-09-04,47
2014-09-05,49
2014-09-08,81
2014-09-09,31
2014-09-10,55
2014-09-11,117
2014-09-12,56
2014-09-15,211
2014-09-16,104
2014-09-17,42
2014-09-18,54
2014-09-19,95
2014-09-22,42
2014-09-23,132
2014-09-24,46
2014-09-25,58
2014-09-26,94
2014-09-29,51
2014-09-30,53
2014-10-01,50
2014-10-02,77
2014-10-03,32
2014-10-06,58
2014-10-07,142
2014-10-08,40
2014-10-09,100
2014-10-10,60
2014-10-14,77
2014-10-15,45
2014-10-16,79
2014-10-17,84
2014-10-20,71
2014-10-21,68
2014-10-22,117
2014-10-23,33
2014-10-24,33
2014-10-26,2
2014-10-27,26
2014-10-28,82
2014-10-29,69
2014-10-30,65
2014-10-31,65
2014-11-03,45
2014-11-04,45
2014-11-05,51
2014-11-06,40
2014-11-07,94
2014-11-10,39
2014-11-11,1
2014-11-12,81
2014-11-13,90
2014-11-14,68
2014-11-17,64
2014-11-18,181
2014-11-19,91
2014-11-20,53
2014-11-21,59
2014-11-24,100
2014-11-25,317
2014-11-26,77
2014-11-28,19
2014-12-01,86
2014-12-02,135
2014-12-03,95
2014-12-04,75
2014-12-05,155
2014-12-08,125
2014-12-09,156
2014-12-10,45
2014-12-11,102
2014-12-12,61
2014-12-15,60
2014-12-16,26
2014-12-17,53
2014-12-18,61
2014-12-19,83
2014-12-22,65
2014-12-23,161
2014-12-24,149
2014-12-26,68
2014-12-29,109
2014-12-30,202
2014-12-31,57
2015-01-02,59
2015-01-05,50
2015-01-06,63
2015-01-07,104
2015-01-08,38
2015-01-09,82
2015-01-12,68
2015-01-13,29
2015-01-14,82
2015-01-15,97
2015-01-16,66
2015-01-19,13
2015-01-20,1025
2015-01-21,311
2015-01-22,409
2015-01-23,81
2015-01-26,53
2015-01-29,137
2015-01-30,61
2015-01-31,1
2015-02-02,128
2015-02-03,36
2015-02-04,160
2015-02-05,188
2015-02-06,57
2015-02-09,2
2015-02-10,2
2015-02-11,35
2015-02-12,76
2015-02-13,67
2015-02-16,2
2015-02-17,109
2015-02-18,80
2015-02-19,49
2015-02-20,77
2015-02-22,2
2015-02-23,50
2015-02-24,132
2015-02-25,81
2015-02-26,51
2015-02-27,83
2015-03-01,1
2015-03-02,63
2015-03-03,64
2015-03-04,90
2015-03-05,53
2015-03-06,103
2015-03-08,1
2015-03-09,111
2015-03-10,107
2015-03-11,77
2015-03-12,56
2015-03-13,121
2015-03-16,74
2015-03-17,76
2015-03-18,93
2015-03-19,70
2015-03-20,39
2015-03-23,68
2015-03-24,57
2015-03-25,68
2015-03-26,115
2015-03-27,58
2015-03-29,12
2015-03-30,78
2015-03-31,41
2015-04-01,46
2015-04-02,75
2015-04-03,27
2015-04-06,33
2015-04-07,72
2015-04-08,46
2015-04-09,82
2015-04-10,43
2015-04-11,1
2015-04-13,80
2015-04-14,84
2015-04-15,91
2015-04-16,67
2015-04-17,41
2015-04-21,18
2015-04-22,64
2015-04-23,47
2015-04-24,54
2015-04-27,53
2015-04-28,48
2015-04-29,148
2015-04-30,44
2015-05-01,43
2015-05-04,77
2015-05-05,94
2015-05-06,46
2015-05-07,82
2015-05-08,92
2015-05-11,100
2015-05-12,30
2015-05-13,59
2015-05-14,162
2015-05-15,61
2015-05-18,40
2015-05-19,66
2015-05-20,51
2015-05-21,59
2015-05-22,23
2015-05-26,59
2015-05-27,60
2015-05-28,112
2015-05-29,35
2015-06-01,73
2015-06-02,73
2015-06-03,86
2015-06-04,94
2015-06-05,63
2015-06-08,56
2015-06-09,84
2015-06-10,147
2015-06-11,32
2015-06-12,54
2015-06-13,1
2015-06-15,63
2015-06-16,63
2015-06-17,44
2015-06-18,82
2015-06-19,60
2015-06-20,2
2015-06-22,96
2015-06-23,142
2015-06-24,63
2015-06-25,98
2015-06-26,72
2015-06-29,136
2015-06-30,69
2015-07-01,67
2015-07-02,91
2015-07-03,10
2015-07-06,19
2015-07-07,54
2015-07-08,73
2015-07-09,64
2015-07-10,207
2015-07-11,2
2015-07-13,48
2015-07-14,50
2015-07-15,107
2015-07-16,77
2015-07-17,44
2015-07-20,131
2015-07-21,97
2015-07-22,82
2015-07-23,94
2015-07-24,52
2015-07-27,47
2015-07-28,68
2015-07-29,103
2015-07-30,117
2015-07-31,75
2015-08-03,106
2015-08-04,88
2015-08-05,213
2015-08-06,150
2015-08-07,125
2015-08-10,145
2015-08-11,83
2015-08-12,212
2015-08-13,167
2015-08-14,74
2015-08-15,1
2015-08-17,96
2015-08-18,196
2015-08-19,339
2015-08-20,127
2015-08-21,760
2015-08-24,147
2015-08-25,144
2015-08-26,68
2015-08-27,64
2015-08-28,46
2015-08-31,46
2015-09-01,60
2015-09-02,62
2015-09-03,46
2015-09-04,60
2015-09-07,5
2015-09-08,66
2015-09-09,91
2015-09-10,54
2015-09-11,100
2015-09-14,49
2015-09-15,102
2015-09-16,65
2015-09-17,77
2015-09-18,38
2015-09-21,63
2015-09-22,97
2015-09-23,87
2015-09-24,93
2015-09-25,87
2015-09-28,95
2015-09-29,60
2015-09-30,83
2015-10-01,99
2015-10-02,89
2015-10-05,80
2015-10-06,52
2015-10-07,51
2015-10-08,123
2015-10-09,60
2015-10-12,5
2015-10-13,144
2015-10-14,183
2015-10-15,114
2015-10-16,81
2015-10-17,1
2015-10-19,61
2015-10-20,88
2015-10-21,64
2015-10-22,44
2015-10-23,89
2015-10-26,21
2015-10-27,88
2015-10-28,23
2015-10-29,89
2015-10-30,104
2015-11-02,59
2015-11-03,151
2015-11-04,61
2015-11-05,62
2015-11-06,72
2015-11-07,2
2015-11-09,131
2015-11-10,95
2015-11-12,112
2015-11-13,72
2015-11-16,159
2015-11-17,47
2015-11-18,67
2015-11-19,141
2015-11-20,120
2015-11-21,1
2015-11-23,120
2015-11-24,68
2015-11-25,55
2015-11-27,33
2015-11-30,86
2015-12-01,123
2015-12-02,79
2015-12-03,120
2015-12-04,105
2015-12-07,73
2015-12-08,50
2015-12-09,71
2015-12-10,45
2015-12-11,81
2015-12-14,69
2015-12-15,64
2015-12-16,65
2015-12-17,54
2015-12-18,43
2015-12-21,75
2015-12-22,77
2015-12-23,167
2015-12-24,25
2015-12-28,43
2015-12-29,59
2015-12-30,71
2015-12-31,50
2016-01-03,1
2016-01-04,59
2016-01-05,84
2016-01-06,137
2016-01-07,110
2016-01-08,137
2016-01-09,5
2016-01-10,5
2016-01-11,48
2016-01-12,80
2016-01-13,64
2016-01-14,97
2016-01-15,111
2016-01-18,1
2016-01-19,92
2016-01-20,141
2016-01-21,214
2016-01-22,110
2016-01-25,74
2016-01-26,127
2016-01-27,65
2016-01-28,94
2016-01-29,67
2016-01-30,1
2016-02-01,67
2016-02-02,74
2016-02-03,54
2016-02-04,57
2016-02-05,82
2016-02-07,1
2016-02-08,6
2016-02-09,81
2016-02-10,60
2016-02-11,59
2016-02-12,55
2016-02-13,1
2016-02-14,1
2016-02-15,1
2016-02-16,101
2016-02-17,81
2016-02-18,94
2016-02-19,68
2016-02-22,109
2016-02-23,115
2016-02-24,70
2016-02-25,102
2016-02-26,79
2016-02-27,18
2016-02-29,107
2016-03-01,66
2016-03-02,90
2016-03-03,90
2016-03-04,138
2016-03-06,1
2016-03-07,123
2016-03-08,71
2016-03-09,89
2016-03-10,115
2016-03-11,128
2016-03-14,100
2016-03-15,50
2016-03-16,104
2016-03-17,66
2016-03-18,100
2016-03-19,2
2016-03-21,65
2016-03-22,83
2016-03-23,65
2016-03-24,78
2016-03-25,47
2016-03-28,116
2016-03-29,78
2016-03-30,77
2016-03-31,67
2016-04-01,129
2016-04-04,77
2016-04-05,76
2016-04-06,58
2016-04-07,75
2016-04-08,53
2016-04-11,103
2016-04-12,46
2016-04-13,118
2016-04-14,58
2016-04-15,75
2016-04-18,4
2016-04-19,133
2016-04-20,114
2016-04-21,83
2016-04-22,77
2016-04-25,37
2016-04-26,44
2016-04-27,92
2016-04-28,45
2016-04-29,95
2016-05-02,362
2016-05-03,45
2016-05-04,49
2016-05-05,67
2016-05-06,100
2016-05-09,75
2016-05-10,34
2016-05-11,78
2016-05-12,59
2016-05-13,72
2016-05-16,72
2016-05-17,61
2016-05-18,87
2016-05-19,82
2016-05-20,94
2016-05-23,70
2016-05-24,54
2016-05-25,71
2016-05-26,95
2016-05-27,105
2016-05-31,112
2016-06-01,74
2016-06-02,102
2016-06-03,136
2016-06-06,118
2016-06-07,50
2016-06-08,110
2016-06-09,145
2016-06-10,61
2016-06-12,1
2016-06-13,137
2016-06-14,56
2016-06-15,145
2016-06-16,77
2016-06-17,186
2016-06-20,64
2016-06-21,238
2016-06-22,63
2016-06-23,80
2016-06-24,127
2016-06-25,2
2016-06-27,90
2016-06-28,74
2016-06-29,144
2016-06-30,85
2016-07-01,123
2016-07-05,35
2016-07-06,98
2016-07-07,81
2016-07-08,117
2016-07-09,2
2016-07-11,121
2016-07-12,228
2016-07-13,88
2016-07-14,41
2016-07-15,51
2016-07-18,98
2016-07-19,152
2016-07-20,82
2016-07-21,51
2016-07-22,108
2016-07-25,34
2016-07-26,92
2016-07-27,77
2016-07-28,67
2016-07-29,94
2016-08-01,71
2016-08-02,49
2016-08-03,57
2016-08-04,55
2016-08-05,79
2016-08-06,1
2016-08-08,44
2016-08-09,75
2016-08-10,80
2016-08-11,57
2016-08-12,94
2016-08-15,55
2016-08-16,50
2016-08-17,130
2016-08-18,60
2016-08-19,86
2016-08-22,43
2016-08-23,78
2016-08-24,83
2016-08-25,100
2016-08-26,107
2016-08-29,50
2016-08-30,65
2016-08-31,153
2016-09-01,70
2016-09-02,164
2016-09-05,1
2016-09-06,163
2016-09-07,63
2016-09-08,44
2016-09-09,72
2016-09-10,1
2016-09-12,56
2016-09-13,90
2016-09-14,119
2016-09-15,132
2016-09-16,94
2016-09-19,102
2016-09-20,113
2016-09-21,142
2016-09-22,41
2016-09-23,103
2016-09-26,66
2016-09-27,74
2016-09-28,69
2016-09-29,65
2016-09-30,98
2016-10-01,2
2016-10-03,130
2016-10-04,103
2016-10-05,99
2016-10-06,108
2016-10-07,134
2016-10-10,5
2016-10-11,110
2016-10-12,176
2016-10-13,82
2016-10-14,193
2016-10-17,55
2016-10-18,131
2016-10-19,78
2016-10-20,109
2016-10-21,77
2016-10-24,70
2016-10-25,83
2016-10-26,67
2016-10-27,59
2016-10-28,99
2016-10-31,60
2016-11-01,54
2016-11-02,74
2016-11-03,87
2016-11-04,69
2016-11-07,70
2016-11-08,127
2016-11-09,127
2016-11-10,86
2016-11-11,4
2016-11-14,105
2016-11-15,109
2016-11-16,113
2016-11-17,54
2016-11-18,114
2016-11-19,17
2016-11-21,71
2016-11-22,117
2016-11-23,158
2016-11-25,38
2016-11-28,34
2016-11-29,73
2016-11-30,121
2016-12-01,53
2016-12-02,109
2016-12-04,1
2016-12-05,64
2016-12-06,131
2016-12-07,122
2016-12-08,114
2016-12-09,103
2016-12-12,63
2016-12-13,79
2016-12-14,109
2016-12-15,89
2016-12-16,112
2016-12-19,39
2016-12-20,80
2016-12-21,62
2016-12-22,64
2016-12-23,77
2016-12-27,148
2016-12-28,71
2016-12-29,63
2016-12-30,68
2017-01-03,55
2017-01-04,75
2017-01-05,112
2017-01-06,117
2017-01-09,69
2017-01-10,119
2017-01-11,154
2017-01-12,66
2017-01-13,48
